bloque;period;camera;charact_SBOF;ID original;lat;lon;fecha act;hora act;fecha desact;hora desact;fecha desact real;hora desact real;dias de trabajo;nombre del lugar;habitat;si se quema;quema.celda;Si se caza aqui;caza.celda;caza.celda2;caza.bloque;fuego.bloque;fuego.celda;H;h;conuco.dist.m;conuco.bloque;ln.conuco.dis;buf.fragmen;ln.buf.frag;dist.comun;ln.comun
B02;P1;IS09;s0;Is09;5,563228978;-61,12846102;2015-10-09;13:00:00;2015-12-08;09:31;2015-11-13;11:21:41;35;qda Warpa;river bank;si;1;no;0;0;3;10;0;1,64;5,4;2950,0;1;8,0;33;3,496507561;0,048449585;1,577938675
B02;P3;IS09;S0;Is09-2n;5,5899;-61,1067;2016-02-07;11:00:00;2016-03-31;09:41;2016-03-31;9:41:00;53;Konok;sabana;si;1;no;0;0;3;10;0;1,64;5,4;1096,5;1;7,0;16;2,772588722;0,047428643;1,556641239
B02;P2;IS09;sf;Is09-n;5,5752;-61,1045;2015-12-08;14:00:00;2016-02-07;09:33;2016-02-07;9:33:00;61;Wuarpa;bosque ribereno;si;1;no;0;0;3;10;0;1,64;5,4;650,7;1;6,5;52;3,951243719;0,035533947;1,267903413
B02;P1;LEE02;s0;Lee02;5,583414026;-61,11576;2015-10-09;9:58:00;2015-12-08;11:00;2015-12-08;11:00:00;60;qda Warpa;river bank;si;1;no;0;0;3;10;0;1,64;5,4;955,9;1;6,9;29;3,36729583;0,049472019;1,598822139
B02;P2;LEE02;s0;Lee02-N;5,5653;-61,1035;2015-12-08;14:45:00;2016-02-07;08:51;2016-02-07;8:51:00;61;Wuarpa;sabana y el borde del bosque;si;1;no;0;0;3;10;0;1,64;5,4;1704,3;1;7,4;47;3,850147602;0,029605216;1,085365467
B02;P3;LEE02;s0;Lee02-N;5,5653;-61,1035;2016-02-07;8:52:00;2016-03-31;12:31;2016-03-31;12:31:00;53;Wuarpa;sabana y el borde del bosque;si;1;no;0;0;3;10;0;1,64;5,4;1704,3;1;7,4;47;3,850147602;0,029605216;1,085365467
B03;P1;IS05;B0;Is05;5,551850041;-61,05188303;2015-10-06;15:30:00;2015-12-06;16:20;2015-12-06;16:20:00;61;quebrada cuyaparu;bosque;no;0;si;1;1;12;3;2;1,62;82,5;265,4;3;5,6;78;4,356708827;0,024518519;0,896843627
B03;P2;IS05;B0;Is05;5,551850041;-61,05188303;2015-12-06;16:20:00;2016-02-04;15:47;2016-02-04;15:47:00;60;quebrada cuyaparu;bosque;no;0;si;1;1;12;3;2;1,62;82,5;265,4;3;5,6;78;4,356708827;0,024518519;0,896843627
B03;P3;IS05;B0;Is05;5,551850041;-61,05188303;2016-02-04;15:48:00;2016-04-04;15:20;2016-04-04;15:20:00;60;quebrada cuyaparu;bosque;no;0;si;1;1;12;3;2;1,62;82,5;265,4;3;5,6;78;4,356708827;0,024518519;0,896843627
B03;P1;IS16;B0;Is16;5,564330025;-61,05638998;2015-10-07;8:30:00;2015-12-07;08:24;2015-12-07;8:24:00;61;quebrada cuaiparu;bosque;no;0;si;1;1;12;3;0;1,62;82,5;768,3;3;6,6;64;4,158883083;0,022697092;0,819651697
