bloque;period;camera;charact_SBOF;ID original;ID_unique;lat;lon;fecha act;hora act;fecha desact;hora desact;fecha desact real;hora desact real;dias de trabajo;ele;nombre del lugar;habitat;NDVI.bloque;Ndvi.celda;si se quema;quema.celda;Si se caza aqui;caza.celda;caza.celda2;caza.bloque;fuego.bloque;fuego.celda;H;h;fract;conuco.dist.m;ln.conuco.dis;buf.fragmen;ln.buf.frag;dist.comun;ln.comun;dis_river;dis_river_ln
B01;P3;IS04;S0;Is04-2n;Is04-2n;5,476;-61,256;2016-02-11;06:30:00;2016-04-08;16:33;2016-02-11;07:10:16;0;1236,605957;Kawi;sabana;0,43742;0,449;no;0;no;0;0;7;21;0;1,69;0,4;0,021553622;3890,2;8,3;9;2,197224577;0,011871462;0,171552315;645,447;6,469943462
B01;P1;IS06;S0;IS06;IS06;5,475919973;-61,24341002;2015-09-24;13:50:00;2015-11-29;13:40;2015-11-29;13:40:00;66;1182;Kawi;arbustros;0,43742;0,442;no;0;no;0;0;7;21;1;1,69;0,4;0,021553622;2694,4;7,9;12;2,48490665;0,018155966;0,596414129;1312,794;7,179912817
B01;P2;IS06;S0;IS06;IS06_1;5,475919973;-61,24341002;2015-11-29;13:41:00;2016-01-26;11:23;2016-01-26;11:23:00;58;1182;Kawi;arbustros;0,43742;0,442;no;0;no;0;0;7;21;1;1,69;0,4;0,021553622;2694,4;7,9;12;2,48490665;0,018155966;0,596414129;1312,794;7,179912817
B01;P3;IS06;S0;IS06;IS06_2;5,475919973;-61,24341002;2016-01-26;11:24:00;2016-04-08;15:52;2016-04-08;15:52:00;73;1182;Kawi;arbustros;0,43742;0,442;no;0;no;0;0;7;21;1;1,69;0,4;0,021553622;2694,4;7,9;12;2,48490665;0,018155966;0,596414129;1312,794;7,179912817
B01;P1;IS12;S0;Is12;Is12;5,506299008;-61,27375603;2015-09-26;14:00:00;2015-11-29;08:00;2015-09-27;11:18:32;1;1253;salto Golondrina;arbustros;0,43742;0,397;si;1;no;0;0;7;21;0;1,69;0,4;0,021553622;7436,2;8,9;11;2,397895273;0,045213082;1,508801377;2006,698;7,604245924
B01;P3;IS12;SF;Is12-2n;Is12-2n;5,5008;-61,2357;2016-01-26;15:36:00;2016-04-08;14:16;2016-04-08;14:16:00;73;1280,74939;Kawi;sabana con arbustros;0,43742;0,44;si;1;si;N1;1;7;21;1;1,69;0,4;0,021553622;4594,9;8,4;8;2,079441542;0,042455996;1,445883067;3039,148;8,019332558
B01;P2;IS12;Sf;Is12-n;Is12-n;5,4799;-61,2293;2015-11-29;16:47:00;2016-01-26;13:57;2016-01-14;13:51:46;46;1184,997925;Kawi;arbustral;0,43742;0,461;si;1;si;1;1;7;21;1;1,69;0,4;0,021553622;2179,5;7,7;11;2,397895273;0,029018663;1,065354091;972,002;6,879357379
B01;P1;IS13;S0;Is13;Is13;5,522092022;-61,27196699;2015-09-26;12:20:00;2015-11-29;08:55;2015-11-14;13:07:40;49;1219;salto Golondrina;arbustros;0,43742;0,393;si;1;no;0;0;7;21;0;1,69;0,4;0,021553622;8589,9;9,1;13;2,564949357;0,059730236;1,787253272;3586,747;8,18500097
B01;P2;IS13;SF;Is13-n;Is13-n;5,4854;-61,233;2015-11-29;15:18:00;2016-01-26;12:57;2015-12-04;23:50:12;5;1206,953003;Kawi;sabana;0,43742;0,408;si;1;si;1;1;7;21;1;1,69;0,4;0,021553622;2879,6;8;10;2,302585093;0,032222446;1,170078192;1614,944;7,387055679
B01;P1;IS14;s0;Is14;Is14;5,525935963;-61,27128496;2015-09-26;11:30:00;2015-11-29;09:30;2015-10-07;13:07:33;11;1207;salto Golondrina;arbustros;0,43742;0,472;si;1;no;0;0;7;21;3;1,69;0,4;0,021553622;8884,6;9,1;21;3,044522438;0,063308683;1,845437396;3977,086;8,288304734
B01;P3;IS14;SF;Is14-2n;Is14-2n;5,4991;-61,2454;2016-01-26;16:24:00;2016-04-08;14:38;2016-04-08;14:38:00;73;1283,856567;Kawi;sabana con arbustros;0,43742;0,411;si;1;si;1;1;7;21;3;1,69;0,4;0,021553622;4830,9;8,5;10;2,302585093;0,036832112;1,303784968;3092,237;8,036650134
