nr conseq;nr org;bloque;periodo;camara;charact;char2;evento;fotos;lat;long;dia;mes;ano;hora.ini;hora.fin;duracion;action;species;activity;number of animals;confidence;dieta;tamano
500;3461;B04;P2;IS21;s0;s01;IS21_E5;6;5,5469;-61,1774;19;12;2015;14:33:10;14:33:19;00:00:09;MP;E.barbara;passing;1;5;carniv;mediano
468;3308;B03;P2;IS05;B0;B0;IS05_E5;3;5,5519;-61,0519;27;12;2015;22:59:33;22:59:33;00:00:00;MP;D.kappleri;passing;1;4;insect;mediano
470;3407;B03;P2;LEE04;Bf;Bf;LEE04_E3;15;5,5292;-61,056;7;12;2015;03:41:54;03:42:10;00:00:16;MP;D.kappleri;passing;1;4;insect;mediano
471;3377;B03;P2;IS20;s0;s01;IS20_E6;12;5,5527;-61,0579;9;12;2015;22:30:52;22:31:18;00:00:26;MP;D.kappleri;passing;1;4;insect;mediano
625;4141;B05;P2;LEE01;sf;sf3;LEE01_E6;3;5,494;-61,0911;4;1;2016;04:13:03;04:13:04;00:00:01;MP;D.imperfecta;passing;1;5;omniv;pequeno
626;3563;B05;P2;IS03;sF;sF2;IS03_E31;3;5,5304;-61,0949;16;1;2016;21:00:58;21:01:00;00:00:02;MP;D.imperfecta;passing;1;3;omniv;pequeno
472;3378;B03;P2;IS20;s0;s01;IS20_E7;6;5,5527;-61,0579;10;12;2015;01:51:43;01:51:50;00:00:07;MP;D.kappleri;passing;1;4;insect;mediano
476;3350;B03;P2;IS19;B0;B0;IS19_E2;9;5,5745;-61,0497;13;12;2015;16:50:27;16:50:39;00:00:12;MP;D.leporina;passing;1;5;herb;mediano
477;3307;B03;P2;IS05;B0;B0;IS05_E4;12;5,5519;-61,0519;24;12;2015;11:55:03;11:55:38;00:00:35;MP;D.leporina;passing;1;5;herb;mediano
478;3358;B03;P2;IS19;B0;B0;IS19_E10;6;5,5745;-61,0497;29;12;2015;15:16:41;15:16:48;00:00:07;MP;D.leporina;passing;1;5;herb;mediano
487;3409;B03;P2;LEE04;Bf;Bf;LEE04_E5;3;5,5292;-61,056;9;12;2015;18:58:07;18:58:07;00:00:00;MP;D.leporina;passing;1;3;herb;mediano
488;3417;B03;P2;LEE04;Bf;Bf;LEE04_E13;12;5,5292;-61,056;24;12;2015;15:27:44;15:29:12;00:01:28;MP;D.leporina;passing;1;5;herb;mediano
501;3436;B04;P2;IS01;b0;b01;IS01_E1;1;5,5622;-61,1852;12;12;2015;17:04:54;17:04:54;00:00:00;MP;L.pardalis;passing;1;3;carniv;grande
504;3514;B04;P2;IS23;b0;b01;IS23_E10;1;5,5695;-61,1765;21;12;2015;17:33:15;17:33:26;00:00:11;MP;L.wiedii;passing;1;5;carniv;pequeno
505;3480;B04;P2;IS22;Bf;Bf;IS22_E4;39;5,5561;-61,1851;10;12;2015;12:09:52;12:11:21;00:01:29;MP;M.americana;passing;1;1;herb;grande
489;3418;B03;P2;LEE04;Bf;Bf;LEE04_E14;6;5,5292;-61,056;27;12;2015;17:18:46;17:19:02;00:00:16;MP;D.leporina;passing;1;5;herb;mediano
492;3382;B03;P2;IS20;s0;s01;IS20_E11;12;5,5527;-61,0579;18;12;2015;11:18:21;11:18:37;00:00:16;MP;D.leporina;passing;1;5;herb;mediano
499;3410;B03;P2;LEE04;Bf;Bf;LEE04_E6;3;5,5292;-61,056;10;12;2015;14:08:18;14:08:19;00:00:01;MP;E.barbara;passing;1;5;carniv;mediano
506;3381;B03;P2;IS20;s0;s01;IS20_E10;12;5,5527;-61,0579;18;12;2015;04:12:46;04:13:21;00:00:35;MP;M.americana;passing;1;2;herb;grande
508;3463;B04;P2;IS21;s0;s01;IS21_E7;27;5,5469;-61,1774;23;12;2015;13:06:54;13:07:54;00:01:00;MP;M.gouazoubira;passing;2;5;herb;grande
511;3530;B04;P2;LEE07;s0;s01;LEE07_E2;9;5,5601;-61,1799;31;12;2015;09:51:02;09:51:11;00:00:09;MP;P.onca;passing;1;5;carniv;grande
512;3531;B04;P2;LEE07;s0;s01;LEE07_E3;9;5,5601;-61,1799;31;12;2015;09:58:51;09:59:00;00:00:09;MP;P.onca;passing;1;5;carniv;grande
564;3466;B04;P2;IS21;s0;s01;IS21_E10;6;5,5469;-61,1774;3;1;2016;18:15:41;18:15:51;00:00:10;MP;C.paca;passing;1;5;herb;mediano
565;3467;B04;P2;IS21;s0;s01;IS21_E11;3;5,5469;-61,1774;6;1;2016;18:24:48;18:24:49;00:00:01;MP;C.paca;passing;1;5;herb;mediano
566;3468;B04;P2;IS21;s0;s01;IS21_E12;3;5,5469;-61,1774;7;1;2016;18:28:52;18:28:54;00:00:02;MP;C.paca;passing;1;5;herb;mediano
567;3469;B04;P2;IS21;s0;s01;IS21_E13;3;5,5469;-61,1774;9;1;2016;18:28:26;18:28:28;00:00:02;MP;C.paca;passing;1;5;herb;mediano
568;3470;B04;P2;IS21;s0;s01;IS21_E14;3;5,5469;-61,1774;13;1;2016;22:24:13;22:24:15;00:00:02;MP;C.paca;passing;1;5;herb;mediano
648;4174;B05;P2;LEE03;b0;b01;LEE03_E29;9;5,4888;-61,0947;3;1;2016;05:50:03;05:50:20;00:00:17;MP;D.leporina;passing;1;4;herb;mediano
649;4193;B05;P2;LEE03;b0;b01;LEE03_E48;6;5,4888;-61,0947;14;1;2016;17:42:36;17:42:50;00:00:14;MP;D.leporina;passing;1;5;herb;mediano
650;4195;B05;P2;LEE03;b0;b01;LEE03_E50;3;5,4888;-61,0947;16;1;2016;09:03:43;09:03:44;00:00:01;MP;D.leporina;passing;1;5;herb;mediano
651;4196;B05;P2;LEE03;b0;b01;LEE03_E51;6;5,4888;-61,0947;16;1;2016;09:14:10;09:14:56;00:00:46;MP;D.leporina;passing;1;5;herb;mediano
652;4199;B05;P2;LEE03;b0;b01;LEE03_E54;12;5,4888;-61,0947;18;1;2016;10:23:00;10:23:52;00:00:52;MP;D.leporina;passing;1;5;herb;mediano
653;3263;B02;P2;IS02;Sf;Sf1;IS02_E10;3;5,5791;-61,1079;8;1;2016;11:18:39;11:18:40;00:00:01;MP;D.leporina;passing;1;5;herb;mediano
654;3264;B02;P2;IS02;Sf;Sf1;IS02_E11;6;5,5791;-61,1079;15;1;2016;10:27:53;10:28:01;00:00:08;MP;D.leporina;passing;1;5;herb;mediano
655;3295;B02;P2;IS09;sf;sf3;IS09_E5;3;5,5752;-61,1045;16;1;2016;09:04:24;09:04:24;00:00:00;MP;D.leporina;passing;1;5;herb;mediano
656;3277;B02;P2;IS02;Sf;Sf1;IS02_E24;6;5,5791;-61,1079;31;1;2016;16:58:18;16:58:28;00:00:10;MP;D.leporina;passing;1;5;herb;mediano
569;3472;B04;P2;IS21;s0;s01;IS21_E16;3;5,5469;-61,1774;21;1;2016;00:29:03;00:29:05;00:00:02;MP;C.paca;passing;1;5;herb;mediano
658;3152;B01;P2;IS12;Sf;Sf1;IS12N_E231;4;5,4799;-61,2293;11;1;2016;18:34:06;18:34:09;00:00:03;MP;D.novemcinctus;passing;1;4;insect;mediano
507;3351;B03;P2;IS19;B0;B0;IS19_E3;3;5,5745;-61,0497;16;12;2015;10:37:12;10:37:14;00:00:02;MP;M.gouazoubira;passing;1;4;herb;grande
660;4223;B06;P2;IS18;bF;bF2;IS18_E16;3;5,5153;-61,1837;23;1;2016;13:25:35;13:25:36;00:00:01;MP;E.barbara;passing;1;5;carniv;mediano
661;4192;B05;P2;LEE03;b0;b01;LEE03_E47;3;5,4888;-61,0947;13;1;2016;03:31:07;03:31:07;00:00:00;MP;L.pardalis;passing;1;5;carniv;grande
662;4134;B05;P2;IS17;bf;bf1;IS17_E16;6;5,4681;-61,0837;25;1;2016;21:25:47;21:26:05;00:00:18;MP;L.pardalis;passing;1;5;carniv;grande
663;4275;B06;P2;LEE05;sF;sF2;LEE05_E50;6;5,4963;-61,1568;12;1;2016;21:43:13;21:43:19;00:00:06;MP;L.pardalis;passing;1;5;carniv;grande
664;4219;B06;P2;IS18;bF;bF2;IS18_E12;6;5,5153;-61,1837;2;1;2016;08:36:25;08:36:33;00:00:08;MP;M.americana;passing;1;3;herb;grande
665;4221;B06;P2;IS18;bF;bF2;IS18_E14;3;5,5153;-61,1837;15;1;2016;17:51:45;17:51:46;00:00:01;MP;M.americana;passing;1;3;herb;grande
509;3411;B03;P2;LEE04;Bf;Bf;LEE04_E7;42;5,5292;-61,056;18;12;2015;12:26:57;12:28:35;00:01:38;MP;M.tridactyla;passing;1;5;insect;grande
667;4143;B05;P2;LEE01;sf;sf3;LEE01_E8;9;5,494;-61,0911;19;1;2016;22:48:16;22:48:37;00:00:21;MP;M.americana;passing;1;5;herb;grande
668;4144;B05;P2;LEE01;sf;sf3;LEE01_E9;57;5,494;-61,0911;20;1;2016;18:49:28;18:51:17;00:01:49;MP;M.americana;passing;1;5;herb;grande
551;3321;B03;P2;IS05;B0;B0;IS05_E18;27;5,5519;-61,0519;30;1;2016;23:36:00;23:37:41;00:01:41;MP;C.paca;passing;1;5;herb;mediano
552;3322;B03;P2;IS05;B0;B0;IS05_E19;27;5,5519;-61,0519;30;1;2016;23:40:06;23:41:36;00:01:30;MP;C.paca;passing;1;5;herb;mediano
570;3473;B04;P2;IS21;s0;s01;IS21_E17;3;5,5469;-61,1774;28;1;2016;18:26:20;18:26:22;00:00:02;MP;C.paca;passing;1;5;herb;mediano
571;3474;B04;P2;IS21;s0;s01;IS21_E18;3;5,5469;-61,1774;29;1;2016;18:22:40;18:22:42;00:00:02;MP;C.paca;passing;1;5;herb;mediano
572;3475;B04;P2;IS21;s0;s01;IS21_E19;6;5,5469;-61,1774;29;1;2016;20:50:36;20:50:45;00:00:09;MP;C.paca;passing;1;5;herb;mediano
621;3500;B04;P2;IS22;Bf;Bf;IS22_E24;27;5,5561;-61,1851;10;1;2016;15:01:36;15:02:38;00:01:02;MP;C.unicinctus;passing;1;5;insect;pequeno
675;3284;B02;P2;IS08;S0;S0;IS08_E4;6;5,5551;-61,1171;3;1;2016;11:01:03;11:01:10;00:00:07;MP;M.tridactyla;passing;1;5;insect;grande
553;3323;B03;P2;IS05;B0;B0;IS05_E20;6;5,5519;-61,0519;30;1;2016;23:43:04;23:43:27;00:00:23;MP;C.paca;passing;1;5;herb;mediano
554;3324;B03;P2;IS05;B0;B0;IS05_E21;12;5,5519;-61,0519;30;1;2016;23:45:42;23:46:01;00:00:19;MP;C.paca;passing;1;5;herb;mediano
555;3422;B03;P2;LEE04;Bf;Bf;LEE04_E18;3;5,5292;-61,056;6;1;2016;18:27:41;18:27:41;00:00:00;MP;C.paca;passing;1;5;herb;mediano
633;3444;B04;P2;IS01;b0;b01;IS01_E9;1;5,5622;-61,1852;9;1;2016;20:26:11;20:26:11;00:00:00;MP;D.kappleri;passing;1;5;insect;mediano
556;3423;B03;P2;LEE04;Bf;Bf;LEE04_E19;3;5,5292;-61,056;6;1;2016;22:39:21;22:39:21;00:00:00;MP;C.paca;passing;1;5;herb;mediano
557;3429;B03;P2;LEE04;Bf;Bf;LEE04_E25;30;5,5292;-61,056;18;1;2016;02:11:03;02:12:38;00:01:35;MP;C.paca;passing;1;5;herb;mediano
558;3431;B03;P2;LEE04;Bf;Bf;LEE04_E27;9;5,5292;-61,056;21;1;2016;02:44:52;02:45:02;00:00:10;MP;C.paca;passing;1;5;herb;mediano
683;3241;B01;P2;IS14;Sf;Sf1;IS14N_E15;17;5,4863;-61,2242;20;1;2016;17:05:07;17:05:26;00:00:19;MP;O.virginianus;passing;1;5;herb;grande
684;3302;B02;P2;LEE02;s0;s01;LEE02_E5;18;5,5653;-61,1035;1;1;2016;18:15:28;18:16:31;00:01:03;MP;P.concolor;passing;1;5;carniv;grande
685;3567;B05;P2;IS03;sF;sF2;IS03_E35;6;5,5304;-61,0949;22;1;2016;04:10:24;04:10:33;00:00:09;MP;P.concolor;passing;1;4;carniv;grande
686;3568;B05;P2;IS03;sF;sF2;IS03_E36;6;5,5304;-61,0949;22;1;2016;18:33:01;18:33:10;00:00:09;MP;P.concolor;passing;1;4;carniv;grande
634;3445;B04;P2;IS01;b0;b01;IS01_E10;1;5,5622;-61,1852;11;1;2016;20:04:41;20:04:41;00:00:00;MP;D.kappleri;passing;1;3;insect;mediano
635;3446;B04;P2;IS01;b0;b01;IS01_E11;1;5,5622;-61,1852;18;1;2016;01:38:24;01:38:24;00:00:00;MP;D.kappleri;passing;1;5;insect;mediano
640;3448;B04;P2;IS01;b0;b01;IS01_E13;1;5,5622;-61,1852;21;1;2016;08:39:37;08:39:37;00:00:00;MP;D.leporina;passing;1;5;herb;mediano
559;3432;B03;P2;LEE04;Bf;Bf;LEE04_E28;6;5,5292;-61,056;21;1;2016;03:33:42;03:33:47;00:00:05;MP;C.paca;passing;1;5;herb;mediano
561;3390;B03;P2;IS20;s0;s01;IS20_E19;9;5,5527;-61,0579;2;1;2016;00:33:34;00:34:03;00:00:29;MP;C.paca;passing;1;5;herb;mediano
562;3392;B03;P2;IS20;s0;s01;IS20_E21;6;5,5527;-61,0579;4;1;2016;21:07:46;21:07:53;00:00:07;MP;C.paca;passing;1;5;herb;mediano
563;3396;B03;P2;IS20;s0;s01;IS20_E25;3;5,5527;-61,0579;18;1;2016;00:19:08;00:19:09;00:00:01;MP;C.paca;passing;1;5;herb;mediano
695;7042;B06;P3;IS10;BF;BF3;IS10_E38;9;5,4922;-61,1546;3;1;2016;18:56:37;18:56:46;00:00:09;MP;C.paca;passing;1;5;herb;mediano
696;7043;B06;P3;IS10;BF;BF3;IS10_E39;6;5,4922;-61,1546;6;1;2016;21:59:01;21:59:05;00:00:04;MP;C.paca;passing;1;5;herb;mediano
