nr conseq;nr org;bloque;periodo;camara;charact;char2;evento;fotos;lat;long;dia;mes;ano;hora.ini;hora.fin;duracion;action;species;activity;number of animals;confidence;dieta;tamano
104;2790;B05;P1;LEE03;b0;b01;LEE03_E32;6;5,4889;-61,0947;27;10;2015;05:14:56;05:16:10;00:01:14;MP;C.thous;passing;1;5;omniv;mediano
105;98;B01;P1;IS13;S0;S0;IS13_E60;3;5,5221;-61,2720;3;10;2015;07:44:13;07:44:14;00:00:01;MP;C.thous;passing;1;5;omniv;mediano
106;102;B01;P1;IS13;S0;S0;IS13_E64;7;5,5221;-61,2720;3;10;2015;18:06:21;18:06:34;00:00:13;MP;C.thous;passing;1;5;omniv;mediano
107;272;B01;P1;IS13;S0;S0;IS13_E234;3;5,5221;-61,2720;15;10;2015;21:30:14;21:30:16;00:00:02;MP;C.thous;passing;1;1;omniv;mediano
108;2854;B06;P1;IS11;s0;s01;IS11_E3;6;5,5181;-61,1888;4;10;2015;22:32:31;22:32:36;00:00:05;MP;C.unicinctus;passing;1;5;insect;pequeno
109;2304;B03;P1;IS19;B0;B0;IS19_E10;6;5,5745;-61,0497;19;10;2015;23:48:27;23:48:39;00:00:12;MP;D.imperfecta;passing;1;5;omniv;pequeno
110;2434;B04;P1;IS22;Bf;Bf;IS22_E37;3;5,5561;-61,1851;31;10;2015;21:26:51;21:26:53;00:00:02;MP;D.imperfecta;passing;1;5;omniv;pequeno
111;2560;B05;P1;IS03;sF;sF2;IS03_E6;3;5,5304;-61,0949;13;10;2015;23:59:18;23:59:20;00:00:02;MP;D.imperfecta;passing;1;4;omniv;pequeno
112;2248;B03;P1;IS05;B0;B0;IS05_E5;18;5,5519;-61,0519;20;10;2015;00:38:36;00:39:16;00:00:40;MP;D.kappleri;passing;1;3;insect;mediano
113;2645;B05;P1;IS07;b0;b01;IS07_E8;6;5,4591;-61,0840;19;10;2015;03:03:01;03:03:05;00:00:04;MP;D.kappleri;passing;1;3;insect;mediano
